FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-10-20;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-10-20;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-10-19;COLECTOR LEÓN;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-10-19;EDAR PALENCIA;NEGATIVO;S/D;
2021-10-19;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-10-19;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-10-19;EDAR ASTORGA;NEGATIVO;S/D;
2021-10-19;EDAR ÁVILA;NEGATIVO;S/D;
2021-10-19;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-10-19;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-10-19;EDAR ZAMORA;NEGATIVO;S/D;
2021-10-19;EDAR SORIA (VATAR);POSITIVO;Aumento significativo;
2021-10-19;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-10-19;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-10-19;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-10-19;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-10-19;EDAR PONFERRADA;NEGATIVO;S/D;
2021-10-19;EDAR SALAMANCA;POSITIVO;Estable;
2021-10-19;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-10-19;EDAR BÉJAR;NEGATIVO;S/D;
2021-10-19;EDAR BENAVENTE;NEGATIVO;S/D;
2021-10-19;EDAR BURGOS;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-10-17;EDAR VALLADOLID (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (3,6 mm) y el día anterior (1,6 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-10-13;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-10-13;EDAR PALENCIA;NEGATIVO;S/D;
